country,variable,value
Dark No-Street Light_Normal Dr.,Injury,4.231
Dark No-Street Light_Normal Dr.,PDO,1.601
Dark No-Street Light_Normal Dr._Low Speed,Injury,1.001
Dark No-Street Light_Normal Ped.,Fatal,3.098
Dark No-Street Light_Normal Ped.,PDO,2.249
Dark No-Street Light_Normal Ped.,Injury,1.111
Dark No-Street Light_Normal Ped._Run-off,Fatal,1.655
Inatten. Ped. ,Injury,2.312
Inatten. Ped._High Speed,Fatal,3.233
Inatten. Ped._Low Speed,PDO,3.333
Inatten. Ped._Medium Speed,PDO,3.922
Inatten. Ped._Run-Off_Medium Speed,Injury,1.453
Inatten. Ped._Run-Off_Young Ped.,Fatal,3.833
Inatten. Ped._Straight Align.,Injury,4.123
Inatten. Ped._Straight Align.,Fatal,3.103
Inatten. Ped._Straight Align.,PDO,2.317
Intox. Dr._Run-Off,Fatal,1.537
Intox. Dr._Run-Off_Male Dr.,PDO,3.833
Intox. Dr._Young Ped._Male Dr._Male Ped.,Fatal,2.279
Intox. Dr._Young Ped._Male Dr._Male Ped.,PDO,2.003
Intox. Dr._Young Ped._Male Ped.,Injury,1.118
Intox. Ped.,Fatal,2.003
Intox. Ped.,PDO,1.987
Intox. Ped.,Injury,1.675
Intox. Ped.__Male Dr.,Fatal,2.617
Intox. Ped._Clear Wea.,PDO,2.112
Intox. Ped._Clear Wea.,Fatal,1.985
Intox. Ped._Clear Wea.,Injury,1.653
Intox. Ped._Female Dr.,Fatal,2.902
Intox. Ped._Female Dr.,PDO,1.222
Intox. Ped._Male Dr.,Injury,2.221
Intox. Ped._Male Dr.,PDO,1.023
Intox. Ped._Male Ped._Young Ped.,Fatal,3.611
Intox. Ped._One Occu.,Fatal,1.895
Intox. Ped._One Occu.,PDO,1.231
Intox. Ped._One Occu.,Injury,1.098
Intox. Ped._Run-Off,Injury,2.453
Intox. Ped._Run-Off,PDO,2.123
Intox. Ped._Straight Align.,PDO,4.321
Intox. Ped._Straight Align.,Injury,2.431
Intox. Ped._Straight Align.,Fatal,1.882
Male Dr._Female Ped.,PDO,3.611
Male Dr._Female Ped.,Injury,3.091
Run-Off,Injury,2.342
Run-Off,PDO,2.123
Run-Off,Fatal,1.643
Run-Off_Clear Wea.,Injury,1.998
Run-Off_Clear Wea.,Fatal,1.601
Run-Off_Clear Wea.,PDO,1.113
Run-Off_Male Dr.,Fatal,2.029
Run-Off_Male Dr.,Injury,2.009
Run-Off_Male Dr.,PDO,1.985
Run-Off_Male Ped.,Fatal,1.896
Run-Off_Male Ped.,PDO,1.882
Run-Off_Male Ped.,Injury,1.223
Run-Off_One Occu.,Fatal,1.55
Run-Off_One Occu.,Injury,1.537
Straight Align._Run-Off_Young Ped.,Fatal,3.523
Straight Align._Run-Off_Young Ped.,Injury,3.123
Straight Align._Run-Off_Young Ped.,PDO,2.018
