method,state,duration,image
Minor Concrete, california, nonpermanent, img1.jpg
Minor Concrete Pavement, texas, permanent,img1.jpg
Asphalt Composite, wisconsin, nonpermanent, img2.jpg/img3.jpg
Stamped Asphalt Paving, texas/arizona/florida, permanent, img4.jpg
Patterned Concrete Pavement, texas, nonpermanent, img5.jpg
Rock Blanket, california, permanent, img6.jpg
Gravel Mulch, california/nevada, nonpermanent, img7.jpg
Aggregate Base, texas, permanent, img2.jpg
Rock Slope Protection, wisconsin/kentucky/alabama, nonpermanent, img3.jpg
Weed Control Mat (Fiber), texas, permanent,img9.jpg
Herbicidal Geofabric, texas/florida, nonpermanent, img5.jpg
Rubber Weed Mat, california/new york, permanent,img10.jpg
Irrigated Ornamental Vegetation, texas/arizona/florida,nonpermanent,img11.jpg
Native and Non-irrigated Vegetation, california/nevada,permanent,img12.jpg
Organic Mulch,wisconsin,permanent,img8.jpg
